Lambda,D_rot,score
100000.0,0.0,0.9978
100000.0,0.0,0.9966
100000.0,0.0,0.9964
100000.0,0.0,0.9965
100000.0,0.0,0.9964
100000.0,0.0,0.9969
100000.0,0.0,0.9959
100000.0,0.0,0.9966
100000.0,0.0,0.9968
100000.0,0.0,0.9972
100000.0,0.0,0.9972
100000.0,0.0,0.9957
100000.0,0.0,0.9968
100000.0,0.0,0.9965
100000.0,0.0,0.9964
100000.0,0.0,0.997
100000.0,0.0,0.9963
100000.0,0.0,0.9977
100000.0,0.0,0.9968
100000.0,0.0,0.9971
100000.0,0.0,0.9957
100000.0,0.0,0.9958
100000.0,0.0,0.996
100000.0,0.0,0.9965
100000.0,0.0,0.9963
100000.0,0.0,0.9962
100000.0,0.0,0.9966
100000.0,0.0,0.9962
100000.0,0.0,0.9965
100000.0,0.0,0.9966
100000.0,0.0,0.9973
100000.0,0.0,0.9968
100000.0,0.0,0.9975
100000.0,0.0,0.997
100000.0,0.0,0.9971
100000.0,0.0,0.9964
100000.0,0.0,0.9964
100000.0,0.0,0.9965
100000.0,0.0,0.9964
100000.0,0.0,0.9956
100000.0,0.0,0.9957
100000.0,0.0,0.9964
100000.0,0.0,0.9967
100000.0,0.0,0.9973
100000.0,0.0,0.9961
100000.0,0.0,0.9971
100000.0,0.0,0.9966
100000.0,0.0,0.9965
100000.0,0.0,0.9968
100000.0,0.0,0.9968
100000.0,0.0,0.9966
100000.0,0.0,0.9964
100000.0,0.0,0.9976
100000.0,0.0,0.9963
100000.0,0.0,0.9956
100000.0,0.0,0.9976
100000.0,0.0,0.9961
100000.0,0.0,0.9971
100000.0,0.0,0.9964
100000.0,0.0,0.9967
100000.0,0.0,0.997
100000.0,0.0,0.9968
100000.0,0.0,0.9964
100000.0,0.0,0.9963
100000.0,0.0,0.997
100000.0,0.0,0.9974
100000.0,0.0,0.9968
100000.0,0.0,0.9964
100000.0,0.0,0.9968
100000.0,0.0,0.9965
100000.0,0.0,0.9969
1000000.0,0.0,0.9991
1000000.0,0.0,0.999
1000000.0,0.0,0.9987
1000000.0,0.0,0.9993
1000000.0,0.0,0.9988
1000000.0,0.0,0.9988
1000000.0,0.0,0.9987
1000000.0,0.0,0.999
1000000.0,0.0,0.9985
1000000.0,0.0,0.9986
1000000.0,0.0,0.9984
1000000.0,0.0,0.9993
1000000.0,0.0,0.9987
1000000.0,0.0,0.9985
1000000.0,0.0,0.9985
1000000.0,0.0,0.9988
1000000.0,0.0,0.9991
1000000.0,0.0,0.999
1000000.0,0.0,0.9992
1000000.0,0.0,0.9986
1000000.0,0.0,0.9982
1000000.0,0.0,0.9983
1000000.0,0.0,0.999
1000000.0,0.0,0.9991
1000000.0,0.0,0.9987
1000000.0,0.0,0.9988
1000000.0,0.0,0.9989
1000000.0,0.0,0.9987
1000000.0,0.0,0.9986
1000000.0,0.0,0.9991
1000000.0,0.0,0.999
1000000.0,0.0,0.9992
1000000.0,0.0,0.9988
1000000.0,0.0,0.9986
1000000.0,0.0,0.9991
1000000.0,0.0,0.9989
1000000.0,0.0,0.9988
1000000.0,0.0,0.999
1000000.0,0.0,0.9991
1000000.0,0.0,0.9988
1000000.0,0.0,0.9989
1000000.0,0.0,0.9988
1000000.0,0.0,0.999
1000000.0,0.0,0.9989
1000000.0,0.0,0.999
1000000.0,0.0,0.999
1000000.0,0.0,0.9982
1000000.0,0.0,0.9987
1000000.0,0.0,0.9983
1000000.0,0.0,0.9989
1000000.0,0.0,0.9991
1000000.0,0.0,0.9987
1000000.0,0.0,0.9993
1000000.0,0.0,0.9988
1000000.0,0.0,0.9992
1000000.0,0.0,0.9982
1000000.0,0.0,0.9988
1000000.0,0.0,0.9993
1000000.0,0.0,0.9991
1000000.0,0.0,0.9992
1000000.0,0.0,0.9987
1000000.0,0.0,0.9991
1000000.0,0.0,0.9991
1000000.0,0.0,0.999
1000000.0,0.0,0.999
1000000.0,0.0,0.9989
1000000.0,0.0,0.9988
1000000.0,0.0,0.9987
1000000.0,0.0,0.9987
1000000.0,0.0,0.9984
1000000.0,0.0,0.9993
1000000.0,0.0,0.9985
1000000.0,0.0,0.9989
1000000.0,0.0,0.9985
1000000.0,0.0,0.9984
1000000.0,0.0,0.9987
1000000.0,0.0,0.9989
1000000.0,0.0,0.9994
1000000.0,0.0,0.9988
1000000.0,0.0,0.9983
1000000.0,0.0,0.9989
1000000.0,0.0,0.999
1000000.0,0.0,0.9987
1000000.0,0.0,0.9993
1000000.0,0.0,0.9992
1000000.0,0.0,0.999
1000000.0,0.0,0.9989
1000000.0,0.0,0.9992
1000000.0,0.0,0.9984
1000000.0,0.0,0.9993
1000000.0,0.0,0.9987
1000000.0,0.0,0.999
1000000.0,0.0,0.9993
1000000.0,0.0,0.999
1000000.0,0.0,0.999
1000000.0,0.0,0.9992
1000000.0,0.0,0.9988
1000000.0,0.0,0.9987
1000000.0,0.0,0.9988
1000000.0,0.0,0.9991
10000000.0,0.0,0.9998
10000000.0,0.0,0.9995
10000000.0,0.0,0.9995
10000000.0,0.0,0.9995
10000000.0,0.0,0.9996
10000000.0,0.0,0.9999
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9999
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9999
10000000.0,0.0,0.9997
10000000.0,0.0,0.9997
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9996
10000000.0,0.0,0.9994
10000000.0,0.0,0.9997
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9994
10000000.0,0.0,0.9998
10000000.0,0.0,0.9995
10000000.0,0.0,1.0
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9995
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9997
10000000.0,0.0,0.9995
10000000.0,0.0,0.9999
10000000.0,0.0,0.9997
10000000.0,0.0,0.9995
10000000.0,0.0,0.9996
10000000.0,0.0,0.9995
10000000.0,0.0,0.9995
10000000.0,0.0,0.9994
10000000.0,0.0,0.9996
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9995
10000000.0,0.0,0.9998
10000000.0,0.0,0.9999
10000000.0,0.0,0.9996
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9995
10000000.0,0.0,0.9999
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9995
10000000.0,0.0,0.9997
10000000.0,0.0,0.9996
10000000.0,0.0,0.9996
10000000.0,0.0,0.9999
10000000.0,0.0,0.9999
10000000.0,0.0,0.9997
10000000.0,0.0,0.9997
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9995
10000000.0,0.0,0.9996
10000000.0,0.0,0.9998
10000000.0,0.0,0.9995
10000000.0,0.0,0.9997
10000000.0,0.0,0.9999
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9996
10000000.0,0.0,0.9999
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9996
10000000.0,0.0,0.9998
10000000.0,0.0,0.9999
10000000.0,0.0,0.9995
10000000.0,0.0,0.9999
10000000.0,0.0,0.9996
10000000.0,0.0,0.9998
10000000.0,0.0,0.9997
1000.0,0.0,0.9665
1000.0,0.0,0.9646
1000.0,0.0,0.9668
1000.0,0.0,0.9699
1000.0,0.0,0.9662
1000.0,0.0,0.9687
1000.0,0.0,0.9687
1000.0,0.0,0.9645
1000.0,0.0,0.9656
1000.0,0.0,0.9651
1000.0,0.0,0.9671
1000.0,0.0,0.9698
1000.0,0.0,0.9675
1000.0,0.0,0.9661
1000.0,0.0,0.9672
1000.0,0.0,0.9679
1000.0,0.0,0.9688
1000.0,0.0,0.9669
1000.0,0.0,0.9674
1000.0,0.0,0.9677
1000.0,0.0,0.9676
1000.0,0.0,0.9647
1000.0,0.0,0.9668
1000.0,0.0,0.9673
1000.0,0.0,0.9653
1000.0,0.0,0.969
1000.0,0.0,0.968
1000.0,0.0,0.9698
1000.0,0.0,0.9646
1000.0,0.0,0.9667
1000.0,0.0,0.9668
1000.0,0.0,0.9664
1000.0,0.0,0.969
1000.0,0.0,0.9715
1000.0,0.0,0.9668
1000.0,0.0,0.9681
1000.0,0.0,0.9683
1000.0,0.0,0.9669
1000.0,0.0,0.9667
1000.0,0.0,0.9692
1000.0,0.0,0.9669
1000.0,0.0,0.9686
1000.0,0.0,0.9703
1000.0,0.0,0.9696
1000.0,0.0,0.9674
1000.0,0.0,0.9699
1000.0,0.0,0.966
1000.0,0.0,0.9699
1000.0,0.0,0.9695
1000.0,0.0,0.9692
1000.0,0.0,0.9702
1000.0,0.0,0.9685
1000.0,0.0,0.9698
1000.0,0.0,0.9683
1000.0,0.0,0.9664
1000.0,0.0,0.9658
1000.0,0.0,0.9674
1000.0,0.0,0.9666
1000.0,0.0,0.9668
1000.0,0.0,0.9698
1000.0,0.0,0.9676
1000.0,0.0,0.9668
