Lambda,D_rot,bias,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129,w130,w131,w132,w133,w134,w135,w136,w137,w138,w139,w140,w141,w142,w143,w144,w145,w146,w147,w148,w149,w150,w151,w152,w153,w154,w155,w156,w157,w158,w159,w160,w161,w162,w163,w164,w165,w166,w167,w168,w169,w170,w171,w172,w173,w174,w175,w176,w177,w178,w179,w180,w181,w182,w183,w184,w185,w186,w187,w188,w189,w190,w191,w192,w193,w194,w195,w196,w197,w198,w199
lambda_inf,0.0,0.0008086510233790106,0.03864684106770754,0.038244251554887816,0.03784122570471882,0.03743777440545772,0.037033908561590535,0.03662963909327317,0.036224976935703715,0.035819933038559286,0.03541451836532703,0.03500874389281801,0.03460262061043456,0.0341961595196939,0.033789371633548414,0.033382267975852954,0.032974859580691275,0.03256715749187621,0.03215917276228135,0.03175091645327831,0.03134239963414094,0.030933633381504917,0.030524628778694118,0.030115396915220916,0.029705948886160415,0.029296295791586272,0.02888644873601761,0.028476418827830714,0.028066217178716803,0.027655854903105338,0.02724534311764465,0.0268346929405642,0.026423915491325844,0.026013021889898794,0.025602023256359376,0.025190930710342656,0.024779755370581684,0.02436850835435754,0.023957200777093027,0.023545843751881106,0.023134448389072554,0.022723025795777896,0.02231158707560662,0.021900143328199766,0.021488705648960858,0.021077285128694973,0.020665892853400945,0.020254539903980205,0.019843237356184457,0.019431996280366796,0.01902082774149064,0.018609742799179603,0.01819875250777406,0.01778786791651915,0.017377100070000914,0.016966460008411594,0.01655595876834547,0.01614560738346822,0.015735416885536476,0.015325398305731699,0.014915562676090137,0.01450592103157324,0.014096484412310331,0.013687263866507563,0.013278270453972887,0.012869515250392557,0.012461009352526524,0.01205276388460847,0.011644790006148783,0.011237098921640678,0.010829701892394173,0.010422610251365623,0.010015835421615353,0.00960938893962317,0.009203282484755066,0.008797527916950924,0.008392137325458427,0.00798712309222222,0.00758249797568603,0.00717827522264684,0.006774468719997541,0.006371093203538125,0.005968164550880888,0.005565700200528259,0.00516371976475738,0.004762245950371799,0.0043613059829518,0.0039609338881066766,0.003561174297124926,0.0031620891124305678,0.00276376989323232,0.002366362627987439,0.0019701221752849727,0.0015755478800612366,0.0011837864295372693,0.0007981967294512677,0.00043400877833197943,0.0002318772174391534,0.0004816420224245879,0.0008494830325677642,0.0012334047833713105,0.0016215861423202877,0.002011198856551884,0.0024012358960284847,0.0027912473569169432,0.0031809996408394834,0.003570357332468317,0.003959234814658824,0.004347573921635233,0.004735332637136676,0.005122478956504426,0.005508987356020787,0.00589483666328729,0.006280008720639998,0.006664487517220286,0.0070482586088207455,0.007431308719857679,0.007813625464485196,0.00819519714685586,0.008576012615871265,0.00895606115769562,0.009335332415142778,0.009713816326355942,0.010091503077790491,0.010468383067565062,0.010844446876775656,0.011219685246779137,0.011594089061122106,0.011967649330893997,0.012340357183017448,0.012712203850671575,0.013083180665386543,0.013453279050670685,0.013822490516622772,0.014190806655579554,0.014558219138363465,0.014924719711267192,0.015290300193507553,0.01565495247499158,0.0160186685145876,0.016381440338587124,0.016743260039398872,0.017104119774491663,0.017464011765513848,0.0178229282975023,0.01818086171825521,0.018537804437852173,0.018893748928123084,0.019248687722347453,0.019602613415001923,0.019955518661402275,0.02030739617762413,0.020658238740279423,0.02100803918644687,0.021356790413578346,0.021704485379440742,0.02205111710207033,0.022396678659798858,0.022741163191175143,0.02308456389511918,0.023426874030818803,0.02376808691782429,0.024108195936108648,0.024447194526119823,0.02478507618884852,0.02512183448582815,0.025457463039314093,0.025791955532296556,0.026125305708586313,0.026457507372859023,0.026788554390840255,0.027118440689222582,0.027447160255917136,0.02777470713998475,0.028101075451854002,0.028426259363252483,0.028750253107392165,0.02907305097900515,0.029394647334385234,0.029715036591521908,0.030034213230128615,0.03035217179166792,0.030668906879511185,0.030984413158904732,0.03129868535705134,0.03161171826319607,0.0319235067286162,0.03223404566674408,0.03254333005311436,0.032851354925488845,0.033158115383825036,0.03346360659033849,0.033767823769525855,0.03407076220818653,0.03437241725545474,0.03467278432276923,0.03497185888394697,0.03526963647513344,0.03556611269486299,0.035861283204010136,0.036155143725792475,0.036447690045783174
lambda_inf,0.001,0.0003106425288002424,0.35854366683889355,0.33286132113410505,0.3083827548165562,0.28413766893665104,0.26070514619626683,0.2382409017916699,0.21693742602403954,0.1963265315835742,0.17656894071150506,0.1573600052163072,0.13921601023293792,0.12223978074018714,0.1066657935671327,0.09277512374404225,0.08016643777886988,0.06956284429428887,0.06114566420130104,0.05656289803841483,0.05497518310035791,0.05599067163918048,0.05869985489617304,0.06368052372597244,0.06873142379416156,0.07420287863412056,0.08017964143615079,0.08548121253594627,0.0905955414965859,0.09494183924319806,0.09909950806960591,0.1030170431753938,0.10630318801644217,0.10935775389080363,0.11172277437849476,0.11402988862028104,0.1160552576028127,0.11793228544599833,0.11950912974352638,0.12100665074140765,0.12185074510807818,0.12236159777166485,0.12241748555912048,0.12211034723012193,0.1210427573035236,0.12012151434931191,0.11914118572185838,0.11852105837444513,0.11829169174587296,0.1180900051558399,0.11813700165176672,0.1180594063317834,0.11784504887673598,0.11745975103411928,0.11665379101968154,0.11509999485891968,0.11324351599608327,0.11153540825097802,0.10990009882560724,0.1082156789114912,0.10616152725102301,0.10400242081927107,0.10138977737878282,0.09871274502901185,0.09572019106825963,0.09232399674136765,0.08899779252309588,0.08571836327199417,0.08227401963739762,0.07948990712166462,0.07718077985951026,0.07549442004806084,0.07403309062707081,0.0728066855318973,0.07206566091472415,0.07088245363067838,0.06940136032880834,0.06796301551510814,0.06709500764812125,0.06666228508354431,0.06702338942584452,0.06689834255544003,0.06701579639349653,0.06709656055819968,0.06725894582924193,0.067783716913564,0.06898323905294743,0.07028267280150141,0.07136038783326583,0.0723683787339204,0.07300335215380467,0.07358579386846632,0.0741809148246296,0.07517446371984117,0.07649745130641367,0.07743293310619305,0.07837049508545792,0.0791306271973791,0.08053689041302735,0.08267375858724069,0.08479036774683052,0.08694030876122939,0.08868252807802625,0.08994632561519299,0.09093284334162051,0.09168129542646522,0.0917750102339387,0.09161142082771925,0.09092882508270446,0.09019267173687949,0.09038522346745048,0.09040891759362177,0.09051059673276259,0.09043038634736808,0.09026605063910141,0.08985676706525571,0.08901538977679536,0.08840490001767183,0.08808466662560088,0.08745286243529597,0.08699089034202002,0.08666419889046079,0.08595554074571825,0.08513540228699044,0.0849976809305323,0.08461179979950333,0.08428037963147876,0.08353050238444965,0.08270454974771788,0.08166910823233665,0.08094672964819612,0.07977039134059837,0.07871013945324531,0.07771737002424405,0.07694530218736019,0.07602360041644328,0.07551819071854164,0.07477771948159304,0.0744363663618734,0.07416776135433797,0.07408233677253134,0.07372748837595623,0.07310332411826492,0.07214601785710967,0.07112381505474857,0.0698312403172879,0.06854914396962786,0.06707760800959174,0.06519927361802239,0.06364771135066462,0.06195555696456342,0.060440136907559346,0.05928292990043183,0.05841442717109875,0.05757576516543259,0.056862404592249595,0.05637474706785845,0.056369655698005935,0.05580843831362676,0.05497192749199815,0.05440340756778197,0.05339404298242877,0.05247800874170448,0.05109385297351505,0.05012628674105814,0.04874745938938641,0.04718931650551976,0.045603005991223015,0.04403588719179743,0.04278122947879634,0.04163554989571734,0.04033107965191589,0.03957346552319714,0.03929380073728937,0.03903279320253266,0.03936463836578044,0.039933551895569706,0.040889644165010945,0.04186440659895159,0.04278137284920349,0.043328364387672465,0.04435493783767701,0.04601955923500105,0.047948633354956395,0.05027127269564802,0.05262719187498151,0.05525124443536141,0.058027158994078606,0.06130478518573333,0.0646738618065052,0.06811132011149655,0.07172147246814822,0.07546745893042525,0.07920812146007808,0.08252325152613103,0.08569028967573926,0.08921483968705009,0.092641229436014,0.0963857523815523,0.10044107944652493,0.10397959002691473,0.1077144350192337
lambda_inf,0.01,6.485069932031744e-05,0.35033935162623187,0.29801942517358027,0.25307275659253764,0.21018245383096334,0.167705376350775,0.1272402086278546,0.09001731898994994,0.06408071360137708,0.06125217318530889,0.07563812750243033,0.09469503078284174,0.11423139441631051,0.13221767036797033,0.14431025138141745,0.1531171515460836,0.15744839694208584,0.154419534802462,0.14946265544840104,0.14441826860250537,0.140237656547299,0.13573292828207215,0.13195139531557545,0.1276265734671385,0.12712339221797186,0.12253010025527622,0.11784317573353209,0.11392143825591866,0.10930992044270267,0.09970709095136257,0.09006212433091092,0.07827801448297705,0.06815957118368685,0.058718420809692355,0.055348265591384005,0.05467507197327737,0.05711834486195049,0.06265532569962708,0.06763029291156822,0.07681664552854192,0.08191803780042049,0.08595832348305922,0.09067337353068652,0.09420452232713228,0.10076016857323407,0.10803843099467046,0.111596442283833,0.11352688528172601,0.11448575273341367,0.11488693904490112,0.11265469767218249,0.11032424264655483,0.10643158264875327,0.10532744309594688,0.10295074739982435,0.10073199520146163,0.09983416275942834,0.1001491621073322,0.10011189282751798,0.09795155581344311,0.0972459014038187,0.09833852882764926,0.10009456907008858,0.10148117978205856,0.10225153338001342,0.10060444098977674,0.09901388870976903,0.09373664467905464,0.08721253785058262,0.08338932071423355,0.07966830963177086,0.07358075650727632,0.06619830256868944,0.062125989657122106,0.06035350618959732,0.05735970085173149,0.05855103924232287,0.061388894530645735,0.06300684765099061,0.06417823553606442,0.06765329985247996,0.06990938772915074,0.0713689630265751,0.07582855272777993,0.08125853105849835,0.08711414356790169,0.09532551617857829,0.10057491805473953,0.1042506478834887,0.10757911681270836,0.10763833504143235,0.10940420145209023,0.10762913747697625,0.10557466572952864,0.1006332069388623,0.09539927847359245,0.09233983470859877,0.08771489715137216,0.08263294101896897,0.07907019840886427,0.07819270291925606,0.07804537154668058,0.08231318117228319,0.08471838158187826,0.0871250484711398,0.08951968328631575,0.09364323470435915,0.09936300776423501,0.10216551555615368,0.10765986264480695,0.11240814331599669,0.11797311099662092,0.12038559587195781,0.11982842241149357,0.11594489430818664,0.11317156199417708,0.10842849542390029,0.10512153487583857,0.10348148892724607,0.10221916485263334,0.10154943428226422,0.0990529886843976,0.09639214789984318,0.0942087571515469,0.09263835745743629,0.09256836000732956,0.09352868908803078,0.09298740540431383,0.08942583497093011,0.08817929818030014,0.08635418877541293,0.08708694828624189,0.08709260778177812,0.08751420943606082,0.09051457513355847,0.09295625143774704,0.09346971676881932,0.09305307020365643,0.09195973313676029,0.08861005920859308,0.08326119483002865,0.08016654960363744,0.08245323488323754,0.08576469699306662,0.08957882258725798,0.09285787331469242,0.09815428217913624,0.10066435702618187,0.09990557940078058,0.09655010618395184,0.09400846150234553,0.0923297944016219,0.09241589534779313,0.09470510574241152,0.09379890191893495,0.09330180827820675,0.09372795587475813,0.09419928093413799,0.09348047616473584,0.09476112914517945,0.09445122799736796,0.09114542299017277,0.08835811029548246,0.08449776316499975,0.07990064858534637,0.07625185124707741,0.07137592172307503,0.06693056093377277,0.06403442297100163,0.06262960679162251,0.06228770268332223,0.06257556694320456,0.06435181782401776,0.06695621569680202,0.06841871171231502,0.071392605557145,0.07213561886474142,0.0749074864571406,0.07862173050139018,0.081482592461412,0.08088164328054828,0.08126868722898715,0.07801699140866696,0.07176482815316662,0.06491301000235544,0.058580632410665905,0.05299760866862765,0.04564911179656743,0.04256088335288366,0.04284640948982099,0.040926370396197516,0.04373049902122881,0.05071152696414763,0.05934391544310267,0.07012487979075029,0.08484099681176813,0.0965729930946396,0.10918096905502736,0.12066984603889387,0.1348962192504943,0.14839394611283502
lambda_inf,0.1,4.214660987830514e-05,0.2787543916595049,0.1511039316912889,0.08824058652707131,0.10455593156772511,0.1311961622908505,0.15837938283906708,0.17842033347234373,0.16283760445886647,0.12926229018083446,0.1044410141992601,0.0970530930494433,0.09756220853929012,0.1043339790223293,0.12341281124837035,0.1496752649867662,0.16557785664857982,0.17973208613974978,0.18096328120599153,0.14631626492855299,0.12177737784663581,0.09151104266619033,0.08878595300113998,0.09629503675127861,0.11302418496925697,0.11519355004720695,0.11249495666249866,0.11937180482927807,0.133448376919828,0.14397112772152013,0.1384372822578618,0.14200869569031893,0.1453727049504243,0.14929461503800043,0.13323312296954645,0.13047268718678212,0.11744351006466291,0.0958853560085672,0.08785681984934304,0.07564639329315781,0.08491982097342031,0.0977860536176886,0.12478787192020065,0.141607221705242,0.14215173121047833,0.141047088967015,0.14555916010911527,0.1377857397299804,0.11994617907341802,0.1105963519920456,0.1104359762641269,0.12162891935277928,0.12210695326823076,0.12404031471264915,0.11291901093727971,0.09780371659136398,0.10004844580576933,0.10153758358231516,0.09784677894286356,0.10657058049358932,0.12310355400411284,0.14690654224903885,0.16924918838746855,0.18977087241895746,0.19147160119911433,0.1773637188998637,0.16569390742727164,0.16567740098089864,0.15874151201858822,0.15136400333568925,0.1462325596217934,0.13614311339253843,0.13797788191033916,0.12913680879974682,0.12756561192968915,0.12315067480469208,0.11052546312974712,0.09369136748063821,0.1024230703127516,0.13484090517181385,0.1599987817564125,0.16891356417976422,0.16510697199413507,0.14976498733025495,0.1432971982472836,0.12210172233092337,0.09624415489553595,0.07699925257784485,0.08962229250468612,0.10520693001482276,0.1096551256651519,0.12755726290885527,0.12674133552531133,0.1299016659914958,0.13339023554704446,0.1216841470714284,0.11774878569423133,0.11566506430398693,0.10221201893995167,0.10569264284902685,0.11699195236419789,0.11326625601550769,0.1231429115129493,0.11593747269154377,0.10436262368752101,0.09313587594834503,0.10056847156364045,0.10974083492711985,0.1134644724731914,0.12964952492275122,0.13080024060327702,0.12865071389023933,0.12587422231502626,0.1107451552117117,0.09349213228875516,0.08087976106302203,0.08404891144267047,0.08837332736037096,0.09883651765804574,0.11114909372028216,0.12206353521840123,0.1315232263011873,0.1312506220757969,0.14165603092197535,0.13958909310786183,0.14038030207382576,0.1404333961525399,0.14865148153511412,0.15960929896784745,0.16274920620171238,0.15889482399860871,0.14971790822093684,0.13527152712631452,0.1163333134965513,0.11536282501678788,0.12986061858522507,0.15195583293761147,0.16400546800600102,0.1662903098211717,0.1644493357233967,0.14829190916573481,0.13861513041196452,0.1419621568165949,0.13614232885373734,0.12708917460309455,0.09994962468965231,0.08619422965600891,0.07394369335420795,0.06092191556166447,0.060869972389366395,0.06921216160167566,0.08250145098869742,0.10390931097941498,0.11844468292711248,0.12030153322035024,0.12562778470370628,0.12914000881477938,0.13418869791604693,0.13438317640537392,0.12424722703344014,0.11322632928587155,0.10114462348956829,0.09473151758062492,0.09919116597697679,0.10722432451393953,0.10485738686791854,0.1101822837795314,0.11676675520229696,0.10223865270464941,0.08842065507810591,0.08498808180223799,0.09201102021560784,0.09962104392788249,0.10658801936664809,0.10965743072462525,0.11336630304116208,0.10865078952719086,0.10534111613169038,0.09278806928407293,0.09582032420251305,0.10261813920569092,0.09957687562660321,0.09482560033408637,0.10276466189462458,0.11106347077449076,0.10907828104287887,0.11149987484624477,0.11027169891784329,0.1105349808789035,0.09462347648248673,0.09489551591453142,0.09678195963784865,0.11114005959889134,0.114356757122588,0.10481648215362571,0.09684231139349231,0.07755380421192189,0.08383932848046775,0.12745971470696388,0.19156736435247917,0.26137095906347385
lambda_inf,0.2,3.3134886057406535e-05,0.2386207076207969,0.10396421655785844,0.1317834678265798,0.16671401009996045,0.15752951368979043,0.15150807199685448,0.15823115087092102,0.13265146530242225,0.12362853783314595,0.1315955017336162,0.12782803198703718,0.14071842017758587,0.1586749830389795,0.16332698902162904,0.1903071377504914,0.19078311394380276,0.16794822162942608,0.15675702424688198,0.12656732577438604,0.11029871784100477,0.11313978512602009,0.1345298284960781,0.14566052367207444,0.1577991282128981,0.1822070071278152,0.20281699322364963,0.19273406486155414,0.19862450157743533,0.1935321313621665,0.17716794291604387,0.16625864555631226,0.1500551264192096,0.11867487368464014,0.12774156663984712,0.151287054631936,0.18483527728639482,0.19131921962116724,0.19316195662275282,0.20525377602307485,0.19637434306379048,0.18526764418904723,0.18779499008823194,0.18079585319224212,0.15623398197252514,0.12701675286649006,0.10387124549470308,0.12045532507033495,0.1318712253615404,0.1328675018434383,0.1491395710316741,0.149730081631824,0.16968554545509817,0.19023146453149722,0.17689328712899677,0.16927132679370543,0.14644223029332704,0.11030811275454068,0.09444464640818802,0.10814577488279103,0.11630988429658502,0.0939326385852404,0.08527611110751532,0.08850765538139153,0.08218831974449965,0.0875308584506967,0.10556506715795025,0.10436820533948454,0.11738037124342104,0.1410118061005125,0.15939741565105048,0.1587661106061591,0.13488404431981302,0.10916706144486109,0.07211505460305555,0.050843270158593114,0.07284334655027105,0.10951944350554249,0.13664069388302078,0.1459210981404077,0.1328949147124466,0.12847983897364593,0.13975207034560735,0.1609832507556063,0.1660594281702697,0.1569887628280991,0.13990012361765503,0.14093285022545435,0.12621014006778417,0.12540799249968226,0.12429457267122146,0.12253280034365892,0.1351895532102424,0.16454124852545496,0.17832203378819325,0.16210879254366967,0.15146267998523086,0.15652777077002028,0.15187750288285934,0.15535273852800738,0.15933990282546392,0.14779906774113102,0.12699433505505614,0.11657432632753661,0.12469835915333853,0.10962830501308005,0.1101891546185826,0.12589333377118156,0.13709964278195433,0.13972933594564246,0.13938284685026447,0.15472667478862842,0.17296248445266543,0.1772603415209802,0.19720276449989207,0.2129093008737459,0.21046303186602797,0.19898830123357764,0.1908586064312613,0.17224594823290132,0.14704626648775607,0.14491698372298553,0.1591519997804602,0.14395995729135783,0.11853341253290443,0.11074280822926018,0.11596966645772794,0.1183964180474572,0.12567889266582172,0.14363945904366168,0.15194643421108292,0.1385981209355075,0.1250783383108958,0.1356183368876239,0.1328856920794462,0.1182169384782236,0.10185543465987508,0.09576561737528602,0.1338088124764833,0.15691159063560847,0.16531271824968757,0.1749511600294414,0.15943323688384575,0.13283816417647393,0.10811167832583617,0.09726684148453311,0.07836920329926048,0.07794210453075749,0.08126066554947273,0.09462217656703086,0.13005804728179507,0.14460295726065658,0.15365300303515528,0.15058374767295463,0.13158127168898615,0.1122318988089833,0.1019568725227658,0.10010117381768059,0.1133286844375777,0.10232048147674663,0.09489188128942257,0.09459017882010154,0.11095926380017253,0.12342459462608493,0.12682092299310474,0.13194599666543388,0.153268258505386,0.16716647360421988,0.14795223027691923,0.13365067363757735,0.10353377643178814,0.11800139659557488,0.1377250671584634,0.14841708047949745,0.1392913628321533,0.12927389918583906,0.1280174520118163,0.13264507755068458,0.13236938987312183,0.13597057342503166,0.14108628630014008,0.14246403457839663,0.13491325181051705,0.12635540569961715,0.13169595015736585,0.13416732444119775,0.13944353793283798,0.13154389774694453,0.13090313081013916,0.14212452218079133,0.1521005583112904,0.158096882577864,0.1667713253558342,0.15336783697881293,0.1378259347859386,0.09834585776031489,0.06880635784996175,0.08644363603543534,0.13483746082234585,0.17693767810751387,0.22833080461056163
lambda_inf,1.0,1.629248562935358e-05,0.26926969440082027,0.12820225168080426,0.31648760077484756,0.3667059065720899,0.2569419585914466,0.15624156251956536,0.2513920413495986,0.2681389767731613,0.28065542829933326,0.22622137568846482,0.19298214810034145,0.19953323132669842,0.21257888404340117,0.1982874817598687,0.20236664813032218,0.17736779994305835,0.1794165425186234,0.22881375448751654,0.29055828283717194,0.27249093340182334,0.24496716190331752,0.2154008533256939,0.1857212673447525,0.15766757123466124,0.17425368703770522,0.18945493292063162,0.22215237325330156,0.2272353798978093,0.16916757713479705,0.17511376125704733,0.18960142299625884,0.18493482258791138,0.17216485544936813,0.13490030372489967,0.1167292816868583,0.14634696671205472,0.14354759925109206,0.15658961329652213,0.14231655223535797,0.1344097300509981,0.16299043361481996,0.16840369568208496,0.19064098120604053,0.20027816898160442,0.24406827882816132,0.25688034995935966,0.20464290147505523,0.14172636677293649,0.1286874743042883,0.16331635376376566,0.13651628628162957,0.11689797135689188,0.15645299041643923,0.18719034567145768,0.16627098103475602,0.21090050480314376,0.26493102610022945,0.26833772863436534,0.1977166036562803,0.16403194728642248,0.1759621043397051,0.164333966813083,0.1513599542206954,0.11392491132669455,0.1595043875906294,0.19478762318541712,0.19274542737148406,0.17609991823750845,0.1406651219728385,0.133972461985943,0.1361048043439791,0.1475939947953311,0.16627031397697511,0.13372154906639558,0.08882891188829979,0.09420459757631966,0.10331660910196189,0.14118314271692523,0.21843588358572907,0.19870657144583564,0.18103905888659622,0.17072043998891961,0.1265432458997505,0.13505858920237993,0.17259813869620164,0.18170037872885933,0.1364020637765059,0.15620461814224298,0.222078697630311,0.2520208349653301,0.22814301243960516,0.24546883406552908,0.2201698890214318,0.16136179045720625,0.1753222012729129,0.2139414011690466,0.2193942947235994,0.23087543790999338,0.2170317585481242,0.20153569747884975,0.2159737629070167,0.1589571606717608,0.09767739225855246,0.14340573049508826,0.19009443934402181,0.24713105896695045,0.2343880094908264,0.18188927430403462,0.170355477106097,0.16946622537967987,0.14772038643875954,0.13836359833762774,0.12824750063582663,0.16779869075555662,0.14162889115932212,0.11712132083384941,0.10734823315045618,0.1303625848583204,0.13324210739665257,0.14983012444708815,0.16987905023565514,0.16479319639306725,0.15229045553083703,0.11461330950794417,0.11644445764284456,0.15772270557045534,0.17669725508709236,0.16542999172214212,0.16384090136115892,0.18248730875588348,0.2004181931212164,0.1795193819682538,0.17617795994716662,0.18403436919088337,0.1552208853589347,0.1626231369028781,0.1809652183332118,0.23763159423426466,0.26201109570421316,0.25461104006437146,0.20917107323185574,0.19158715196737217,0.15077072545289227,0.17402061491711826,0.18284842277101215,0.2094060697778638,0.1594376759862221,0.13903444167356566,0.16491779972941684,0.1802736814376631,0.20817440678908217,0.21163688417668824,0.19199725007700374,0.1395638216032804,0.13233280048508372,0.12101897700905036,0.12429797664521937,0.15965623464311718,0.21014697731640652,0.19495776686271496,0.17330683388641502,0.16354006350507883,0.1916888180896522,0.18315281366762978,0.17587953495131867,0.1624273578101876,0.11263011199022252,0.09244512366571184,0.1372884145215888,0.19911152032005064,0.2201209929052836,0.19603257239457725,0.21949108961974656,0.22674206430239568,0.20006429163278333,0.1866261458261497,0.18268558396410367,0.1856316163991078,0.20319946252559987,0.23443489587637792,0.18406377935721907,0.16398581346918895,0.14483361940829453,0.14712055626636059,0.142938324863359,0.13602941574936683,0.16351316144730688,0.15713086196254922,0.116911477688101,0.11489334193086807,0.1280761725955287,0.17174992270237033,0.1415775577383242,0.13757178895245237,0.16079570679618163,0.11130511427076992,0.10815499234746466,0.09063669306752456,0.17170411278919473,0.3050666942308897
lambda_inf,2.0,1.468160894627392e-05,0.26286487034658507,0.25142142769856507,0.26582132322624463,0.20908945929690934,0.1755893456829377,0.25207972696431696,0.23294452720854406,0.25336759918631413,0.1780425581642213,0.15712263164269813,0.20867789296511538,0.18191965402520854,0.29105790851662955,0.27004551630415086,0.2540898924191413,0.22735839655046483,0.17564147550092216,0.1559775882800356,0.20692589956938318,0.26728652847674733,0.2586255647826158,0.23847589730021765,0.1751496966938962,0.2352809327855135,0.24644663306403322,0.17626247664235506,0.20415185275620198,0.21189526718392898,0.1944594344818569,0.20252328032083328,0.21042483564723455,0.170283600679739,0.12786587324887222,0.16569580406283554,0.14235260486171913,0.20331658252418305,0.28892421462952905,0.3132174771912221,0.26068594015835994,0.22956165530420647,0.24464125407150478,0.23122290733643533,0.28212638794221334,0.2071204265868703,0.2232045543422518,0.25799985434018613,0.23109188274812748,0.22175120576204138,0.20865454817614587,0.21420201645473852,0.24751039132372646,0.19990073847946319,0.21953248942426742,0.2110698188380776,0.2304793788331363,0.23376582654078437,0.21629700814194003,0.20799738869886444,0.1778565818193046,0.25827949509841336,0.30020195337875455,0.27599494627284954,0.2419175521923026,0.15882570572263335,0.13631570221276482,0.23122449617777868,0.19515531628559832,0.22452652522934927,0.23577650140398101,0.18587422155956154,0.21436392204343757,0.26215410994773963,0.2260675331359062,0.20621661416369136,0.1650964857533969,0.1481962174513331,0.19504564566452035,0.1856429423425103,0.15375777417168182,0.12804678222810148,0.17483182886635262,0.1417330450489983,0.17385993340022823,0.25479414656040716,0.2420519832502523,0.22731645026573455,0.19148602309901208,0.1498592031530621,0.14484367602878018,0.17643786570993789,0.18248154006200343,0.1357116943864744,0.14839649885633943,0.20642365845096483,0.19289102306506306,0.1163203821743162,0.14164426399545985,0.19344672163748494,0.18661513387097012,0.1478369342041636,0.16488251285752104,0.20059177017968804,0.16832384658813396,0.1659532722031711,0.1544511661654202,0.17846938563297493,0.1471898805880016,0.16597410877226806,0.1770571762552469,0.15906198938202293,0.15931072285301714,0.09402102996167677,0.08740516232623345,0.17892929642694289,0.2141832724013679,0.137803573123405,0.1430725907182382,0.11272902106170497,0.12648419927680593,0.17376208388426656,0.1890864316674345,0.1971686740720022,0.2075942180010788,0.22368567964228023,0.19757389545861997,0.1907231207514028,0.15550579000792789,0.13264192712071432,0.16007534874816431,0.2117842538890235,0.20840902304053668,0.1513431391363311,0.16841973059247348,0.18864881579086407,0.1900909387798519,0.1939675024675706,0.1964516732574872,0.19677940056728266,0.13669529581333398,0.2050174809904089,0.1993034321063553,0.2394013292927246,0.29421124588424585,0.2843098663864144,0.21733756980833793,0.15399515636993874,0.12854068558374393,0.25568983149983515,0.262134318670664,0.23462969349072332,0.21366208877072498,0.23660859236127563,0.270685073556384,0.25936048323054023,0.1666587930303415,0.09409991684292825,0.1722214355879147,0.288375428195018,0.2559100374871041,0.2008041406547576,0.18626741227618804,0.16038940852582478,0.14215007440060073,0.09174025681133287,0.16365683646534354,0.18855393262286935,0.2044113180072633,0.1271609258767087,0.1332373576698913,0.1902229707703199,0.1952753152858009,0.11847250230512035,0.15875548738745207,0.15946448261443144,0.17642843259948188,0.16031624817160137,0.15807004162699165,0.189883537683153,0.14721009723774764,0.17395750991986766,0.21410516444904837,0.25339559779394927,0.2455044220076202,0.2001516764041458,0.15129300424610198,0.16372033723232057,0.23127280744291048,0.20949936118038262,0.17691846809846368,0.14160870193037278,0.09276471378389414,0.16860788976499852,0.13437201810152663,0.1746249467674965,0.19167189024608616,0.20403362291388888,0.17049772377225322,0.13942117145847038,0.16686173063288845,0.29106089381075084
