Lambda,D_rot,score
10000.0,0.0,0.9899669999999999
10000.0,0.001,0.9861037
10000.0,0.01,0.9704525999999999
10000.0,0.1,0.9307336
10000.0,0.2,0.9085937
10000.0,1.0,0.8272518
10000.0,2.0,0.7736364
