Lambda,D_rot,T_eff,bias,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129,w130,w131,w132,w133,w134,w135,w136,w137,w138,w139,w140,w141,w142,w143,w144,w145,w146,w147,w148,w149,w150,w151,w152,w153,w154,w155,w156,w157,w158,w159,w160,w161,w162,w163,w164,w165,w166,w167,w168,w169,w170,w171,w172,w173,w174,w175,w176,w177,w178,w179,w180,w181,w182,w183,w184,w185,w186,w187,w188,w189,w190,w191,w192,w193,w194,w195,w196,w197,w198,w199
lambda_inf,0.0,2.0,-0.020909305736381226,1.0,0.9895623746063243,0.9791146810263262,0.9686571822462823,0.9581901416140076,0.9477138228242413,0.9372284899041786,0.9267344071988852,0.9162318393566884,0.905721051314642,0.8952023082838477,0.8846758757348367,0.8741420193829079,0.8636010051734606,0.8530530992673138,0.8424985680260008,0.8319376779970217,0.8213706958992169,0.8107978886079038,0.8002195231403361,0.7896358666407385,0.7790471863656966,0.7684537496694313,0.7578558239889353,0.747253676829335,0.7366475757491262,0.7260377883453251,0.7154245822388965,0.7048082250599044,0.6941889844327825,0.6835671279617269,0.6729429232158319,0.6623166377145575,0.6516885389129214,0.6410588941869052,0.6304279708187862,0.6197960359824173,0.6091633567288263,0.5985301999713724,0.5878968324713305,0.5772635208232756,0.5666305314405967,0.5559981305409546,0.5453665841318366,0.5347361579960904,0.5241071176774951,0.5134797284664475,0.502854255385535,0.49223096317521975,0.481610116279616,0.47099197883215493,0.4603768146414479,0.4497648871770925,0.439156459555536,0.428551794525959,0.41795115445630987,0.4073548013191922,0.3967629966780361,0.3861760016730781,0.3755940770075382,0.36501748293383923,0.35444647923979994,0.34388132523497034,0.33332227973692335,0.3227696010576963,0.3122235469902534,0.30168437479489685,0.29115234118599115,0.28062770231850775,0.2701107137746414,0.25960163055072727,0.24910070704390333,0.23860819703905248,0.22812435369576384,0.217649429535295,0.20718367642764965,0.19672734557877017,0.1862806875176945,0.17584395208387107,0.16541738841449166,0.15500124493193415,0.14459576933127352,0.13420120856782272,0.12381780884486272,0.11344581560123537,0.10308547349928836,0.09273702641271601,0.0824007174144635,0.07207678876485911,0.06176548189969928,0.05146703741848675,0.04118169507267985,0.030909693754100766,0.020651271483425288,0.010406665398693315,0.00017611174397875751,-0.010040154141903603,-0.020241897836595135,-0.030428885845229885,-0.040600885611497085,-0.05075766552852154,-0.060898994949676884,-0.07102464419934845,-0.08113438458350437,-0.0912279884003029,-0.10130522895046239,-0.11136588054764573,-0.12140971852872254,-0.1314365192638759,-0.14144606016668138,-0.15143811970406665,-0.1614124774061135,-0.17136891387589828,-0.18130721079903322,-0.19122715095331336,-0.20112851821811423,-0.21101109758374056,-0.22087467516065862,-0.2307190381886493,-0.2405439750458357,-0.2503492752576371,-0.2601347295054863,-0.2699001296356896,-0.2796452686678866,-0.2893699408036874,-0.2990739414349967,-0.30875706715222834,-0.31841911575265897,-0.3280598862482882,-0.337679178873975,-0.3472767950951864,-0.3568525376157033,-0.36640621038536875,-0.3759376186074848,-0.38544656874625255,-0.39493286853410553,-0.4043963269788394,-0.41383675437070616,-0.4232539622893549,-0.4326477636106638,-0.44201797251347696,-0.4513644044862875,-0.46068687633361083,-0.46998520618246065,-0.4792592134886143,-0.4885087190427568,-0.4977335449765096,-0.5069335147684121,-0.5161084532497218,-0.5252581866100412,-0.5343825424030068,-0.543481349551739,-0.5525544383541628,-0.561601640488238,-0.5706227890171615,-0.5796177183943068,-0.5885862644681509,-0.597528264487055,-0.6064435571038903,-0.6153319823806893,-0.6241933817929362,-0.6330275982340182,-0.6418344760193558,-0.6506138608904694,-0.6593656000190826,-0.6680895420108214,-0.6767855369090648,-0.6854534361985315,-0.6940930928088046,-0.7027043611177066,-0.7112870969546599,-0.7198411576037815,-0.7283664018069592,-0.7368626897668193,-0.7453298831495527,-0.7537678450876218,-0.7621764401823373,-0.7705555345064072,-0.7789049956063178,-0.7872246925045074,-0.795514495701591,-0.8037742771784826,-0.8120039103981164,-0.8202032703074595,-0.828372233339157,-0.8365106774131095,-0.8446184819379478,-0.8526955278124962,-0.8607416974269443,-0.8687568746640727,-0.8767409449002745,-0.8846937950064602,-0.8926153133490281,-0.9005053897904131,-0.908363915689832,-0.9161907839037711,-0.9239858887863578,-0.9317491261896872,-0.9394803934640448,-0.9471795894579261
lambda_inf,0.001,1.46,-0.0008355724077703118,1.0,0.9520335982308471,0.9054054684154633,0.8599561689381597,0.8153777903794197,0.7718705284663208,0.7296008557646685,0.6880483461593271,0.6476616938765639,0.6080702413555781,0.5694789318159886,0.5321745396988515,0.4960808648220245,0.461267550352513,0.4273987704776804,0.3945147536154949,0.36285859733758047,0.3322225195516585,0.30278003153967065,0.2743386857888691,0.24678769142351661,0.2201717645973116,0.194847029268886,0.17080840650795012,0.1475058556779337,0.12528503131800667,0.1040638402337111,0.0838903463383638,0.06447487142353403,0.04581316414015612,0.027817535042140296,0.010630177707995053,-0.0059268465919598366,-0.021763341491481056,-0.03677282530021102,-0.05093330165527441,-0.0642356318263685,-0.07697450491040718,-0.08894927714677843,-0.10042817013214961,-0.11135696036829164,-0.12159326513807792,-0.13133779892320155,-0.14044437230519805,-0.14916404119803905,-0.15743247480631667,-0.16522661205927525,-0.1727466062289151,-0.18003723057886598,-0.1870467407520509,-0.1933269095366402,-0.1994024985711968,-0.20483568287341256,-0.20943734822812343,-0.21382497745863147,-0.21765854815153224,-0.22130585146844178,-0.22448834226671333,-0.22699255607062907,-0.22928526213877115,-0.23073161763091038,-0.23161826800265253,-0.2318115784584491,-0.23204453116547702,-0.2319787376900863,-0.23145621011571552,-0.23067803926306832,-0.22977389161053965,-0.2289714681704368,-0.22824825296089274,-0.22697599113262454,-0.22579338686066736,-0.22449713393795212,-0.22314944199551992,-0.22145493152725876,-0.21944446496256845,-0.21741676529678486,-0.21533023027564596,-0.2130940981836579,-0.21064288937985975,-0.20832110578604798,-0.20573940460583348,-0.20313149763210805,-0.20038713809362874,-0.19752576737745986,-0.19445834865437567,-0.19139295787790742,-0.18824973194842456,-0.1850901629389358,-0.18202161218918547,-0.1787026989740295,-0.1750289112974472,-0.1711988662361455,-0.1674596296565857,-0.1635047461709193,-0.15948329547168807,-0.15551114804020788,-0.15140620205262384,-0.14709960711880354,-0.1430486691143033,-0.1389956134417775,-0.13474962059109633,-0.13043390982009748,-0.12652987312955458,-0.1227502808686057,-0.1192981297215445,-0.11606636297291051,-0.11262159395031862,-0.10870474213655036,-0.10491157040543017,-0.10102161231784086,-0.09717662635947963,-0.09342278319083554,-0.09016553320801791,-0.08702620497821782,-0.08383017626650173,-0.08040166750320331,-0.07709712302331505,-0.07374960428425913,-0.07047686404355175,-0.06730004365797143,-0.06437357752123538,-0.06121182044295582,-0.05819767588944887,-0.05513561981813038,-0.052436305691640615,-0.050016782797952165,-0.0477556245367899,-0.045654834897759,-0.043840994527358665,-0.04193185902194935,-0.04016660470805553,-0.03842315697812831,-0.036672794137943755,-0.03482326144023472,-0.03302966958289266,-0.031020544220981272,-0.029097498841540653,-0.027130181889326643,-0.02517972288031169,-0.022973338498999626,-0.020693893247546682,-0.018254365191124486,-0.01594132866882401,-0.013546216475449591,-0.011363363450126559,-0.009054154305481895,-0.006620588848420055,-0.004080010419320658,-0.0016856289839436128,0.000497357509288864,0.002490927248159405,0.00415408729701065,0.005644557052355408,0.007052779065277054,0.008639619390429,0.010346473380704007,0.012021202108037176,0.013566664838480194,0.014668695815700565,0.015913185215211047,0.017365961948114267,0.019068531884539504,0.020740616950229773,0.022621194206200474,0.024207035346398315,0.025677252320807618,0.02701137293067348,0.028483585821467497,0.029652152511389498,0.030621035126165826,0.03156497127849916,0.0324312627556152,0.03352538130002478,0.034492667235640095,0.0352926748196002,0.036141560948738674,0.037195820467402024,0.03819573117368846,0.03917903476501691,0.039969646472310875,0.04048197733446341,0.040909185341540324,0.04132939077491376,0.04171357427329776,0.04196946365254492,0.042100382400798345,0.04247716119095865,0.04275594195538259,0.0429711833837239,0.04306623210929118,0.04314964614660891,0.043353314054104315,0.04372119180203317,0.0437875911177899,0.04388438690919844,0.043922881839080385,0.043983906516055805,0.04443931769485145,0.0450428623171733
lambda_inf,0.01,0.59,-9.032518844648655e-05,1.0,0.8839091471279461,0.7751235934982205,0.6725125993026501,0.5765726210156433,0.4867491397375671,0.40295904917623376,0.3258190321172575,0.25472319702566754,0.19062572822759388,0.13254943043506323,0.08027301758259003,0.03228295828263687,-0.010578038707014962,-0.04862099708877749,-0.08196962328218282,-0.11144321194974761,-0.13728330263864089,-0.15961689674867235,-0.17931863975151613,-0.19558033150356072,-0.20891261804420916,-0.21945133060413605,-0.22756797014747915,-0.23314918781245297,-0.23573107905951374,-0.23694777396702502,-0.23573179661350524,-0.232419407899108,-0.2279155142480481,-0.22214843990170793,-0.21533495773349393,-0.20798212081464137,-0.19991582674410377,-0.19132452673190717,-0.18277515337602881,-0.17433263890924658,-0.16593724470923457,-0.15702992578999625,-0.14922945552457392,-0.1409568448499217,-0.13196621413159998,-0.12259923723006061,-0.1127417033346541,-0.10256358112725297,-0.09275621050767406,-0.08302943927534492,-0.073982247658442,-0.06610064409589149,-0.05831420079509134,-0.05125402593474923,-0.04463659490849634,-0.0385761881910349,-0.03208395978242577,-0.026425377396972132,-0.020964771884119802,-0.016351941405721077,-0.012352435386170351,-0.009896815388646707,-0.007401601832360758,-0.004706530138139233,-0.0018335272421748751,0.0008010383994534907,0.002677202765606782,0.004147466598131736,0.006434682265043502,0.008884812364382879,0.010949499238532417,0.013969294059239813,0.016052746195782057,0.018557889374830393,0.019770712060933903,0.01999525767389978,0.020250558349426843,0.020910453191622626,0.021408048467892293,0.02186877067490459,0.021242456775665622,0.021067563453200613,0.019828970555140105,0.01823493438665189,0.01687243438408697,0.015016388748596756,0.013184535833374504,0.011985940854323257,0.011028809049032579,0.0098601910454286,0.008995933029029509,0.00810761975081677,0.007334324454922131,0.00588950063817271,0.004119850006460943,0.003063662387840462,0.0023680923242381403,0.0014333693582968172,0.0003123842934259551,-0.0010814947340550688,-0.0021039343729849776,-0.0037234648686858473,-0.004961532932096922,-0.006322883104104662,-0.006754207864710136,-0.006867362445046718,-0.007700600791702684,-0.008117875569747801,-0.008627082547943126,-0.009054309530972691,-0.009308367429180505,-0.009403785444133412,-0.008843218334164725,-0.007905338886145702,-0.007457275530543601,-0.006844009526642251,-0.006674550359345647,-0.007040496312994136,-0.007230436262475337,-0.0072157026549532245,-0.006892204551055741,-0.006858008101762099,-0.0071866743878318175,-0.007004192323178135,-0.007232201448607256,-0.007603922160789917,-0.007456465553387689,-0.006487485940215949,-0.005841466770139347,-0.005508735921921401,-0.005480470320206957,-0.005577029014392954,-0.0056094073360434,-0.005779203005465254,-0.006071449286556824,-0.006508250495951585,-0.007236049678656661,-0.0074571240405769896,-0.007914864417635045,-0.008373085842028895,-0.008279909415682591,-0.007762569662889105,-0.00732019608455589,-0.006818371454812902,-0.006089183755027525,-0.004613418864874757,-0.003697043546587423,-0.002626420540447596,-0.0006101776308501952,0.0013829069050519927,0.003957699392530322,0.006500683837696354,0.00875039351765948,0.010475056283244705,0.012108374425858107,0.013182159148581615,0.013230366480382349,0.012871827847545694,0.012364097646898548,0.011410070607286618,0.0104206709991131,0.009352226203420551,0.008345937648610182,0.007637184407185361,0.007256290912933747,0.006962939122915451,0.006821775095795121,0.006192236063348825,0.005814462799094759,0.006328836974896027,0.0071247722970892826,0.007926940402896833,0.009052327609270659,0.00982841239413691,0.010803485679482108,0.011654570938878797,0.012146138977539309,0.012144296483733575,0.011652189399089317,0.01078374026015227,0.009913998448788654,0.009003186313534918,0.008425317504290677,0.006932657943166167,0.005524713574109747,0.003860801415401234,0.002110595308951289,0.0004940909632188138,-0.00044701126064688014,-0.0010380610982250143,-0.0016666013608741229,-0.002493082095325117,-0.004184137143151331,-0.005879365657191962,-0.007671822459384577,-0.009473557300418593,-0.010978727829556974,-0.012415869271804507,-0.014301658832025721,-0.015909553373613387,-0.017867392994638312,-0.01940538571954873,-0.020930536205626075
lambda_inf,0.1,0.28,-1.2238548114570677e-05,1.0,0.7479705262235233,0.5307160703444509,0.34644365903624885,0.19096245370658507,0.06246020048645538,-0.039851286819759614,-0.11766392429106363,-0.17677655029648082,-0.21668405935986992,-0.24132591211492235,-0.2525975653202248,-0.25398738525586956,-0.2483941697707854,-0.2376604128154461,-0.22102024693948988,-0.2004761903078298,-0.17782708933157587,-0.15380400731908778,-0.13104225298617125,-0.10993386455639502,-0.09007821897019261,-0.07189977453040654,-0.05477325722474936,-0.03881852232593709,-0.025476046355097492,-0.01335917581005034,-0.0036924470863878324,0.005236387895527046,0.01121511225187274,0.015690838601109494,0.018977326245752883,0.021599086214601465,0.021431216836335722,0.02006290202088256,0.017853321698132526,0.016444796504989787,0.014884657886573841,0.013687064483168636,0.011510237975685941,0.010412800243873742,0.009808112368324495,0.008542741744378439,0.005234927726526492,0.0015899976149638625,-0.001028853192013885,-0.002782750206137941,-0.0057531398881759226,-0.00833720943268476,-0.008908721833278845,-0.006916408530384728,-0.006271261900351815,-0.007045089700252611,-0.005714081765805217,-0.004584970897465084,-0.0028443621772647905,-0.00014716903363691376,0.0023398625982893914,0.0035001802644820017,0.0037256173464035834,0.0032357835294545534,0.0019754945056290234,0.002440737304432361,0.003973252329547738,0.006055311402688933,0.007975072146953779,0.00809975597434415,0.005627907535679945,0.0047501012148559105,0.00406354822865753,0.0026052098432241782,0.0003496191329497563,0.00011035101136606009,0.000500642896209526,0.0003312321812704921,0.00048717580583005656,0.0006141624933624196,0.0009965840177143072,0.00233655918571228,0.0034907605825705156,0.002049340621868626,0.002026515150713743,0.0018204337688633217,0.0010109715708511973,0.000366503434721653,0.000299577697581,0.00019703129173920912,-0.0018056859475279047,-0.002407241822866757,-0.001868160705116432,-0.004618105840964227,-0.004878661419179964,-0.005077773721950698,-0.004090667299708638,-0.0028138405927214368,-0.0016639770845112392,-0.0015575901434227769,-0.002374187400464148,-0.004183132148477186,-0.005442593285487291,-0.006782906995286793,-0.008929944461799746,-0.010774357097742975,-0.011543937684039956,-0.012059612316213216,-0.010840768626132858,-0.009189945905615343,-0.006914248448436903,-0.0030345998618495234,0.0016189446218257966,0.005090678220228737,0.006576515803158151,0.007827384081085255,0.008754215852013343,0.008939406334286372,0.009097651098216336,0.009186387499336804,0.0074635383271265164,0.00755735584966827,0.007307770535452956,0.00714302445941955,0.006174705452973301,0.004229935741942442,0.0028352424948700937,0.002349555139159942,0.0017402313789559546,0.001184214494273787,0.0015067582763194159,0.0021389255760446385,0.0030692215562833683,0.003321230129435022,0.0037845873990717594,0.0038406204890411993,0.0026566572515013165,0.0006668555500778448,-0.0011504958746975501,-0.0030093824267638345,-0.004094707750020627,-0.005684350760468223,-0.006358807436972689,-0.006908590666243984,-0.0073898727955483455,-0.007806090275532092,-0.006257575578874254,-0.005004378496414623,-0.0036397015405723993,-0.0021739697397226707,-0.0021042115871136194,0.00017239792085579838,0.0007666473626597039,0.0013591039657317413,0.0031570975293932456,0.0039399039739666285,0.004545986615636077,0.0038871743921718585,0.003084134562609782,0.002862470532103237,0.0018181274630665169,0.0012397916482453936,0.00029313087294013343,-0.00051852695665992,-0.0013010311153289489,-0.0012842960414076582,-0.0023084257187123494,-0.0034453540904287594,-0.0037653704361232687,-0.0034109935336930743,-0.002737706386656172,-0.0024858486966845695,-0.003581958278260942,-0.0025919697792374952,-0.002600839348431288,-0.002035917954073066,-0.0007195966405276223,0.0021982705835232224,0.0045522235140403235,0.006417294929078185,0.006407362115594848,0.00638504733382367,0.006097015741134643,0.005419445420098378,0.004440398349535115,0.002962438138865495,0.0012296933894829635,-0.00034336221812260813,-0.002543767196536282,-0.0034796728203955627,-0.004599696489400797,-0.004743644013822048,-0.004688801919703496,-0.004461459061475012,-0.0043360778309122884,-0.004295029003860311,-0.003451058936342984,-0.002593970058001985,-0.0014693995670155423,0.0003662615073756858,0.002407359620942601,0.004561594718269525,0.006534797534238242
lambda_inf,0.2,0.22,-7.4310757712944805e-06,1.0,0.6781420146630269,0.41333640965816165,0.202607873106643,0.040541676704175515,-0.0803156684693097,-0.16295263113272762,-0.21628956765239996,-0.24627668150636245,-0.2552530800657674,-0.2507957590310073,-0.23581197194528986,-0.2132263373745626,-0.18659904382892384,-0.1610632326771853,-0.13379789019754113,-0.10594265673757457,-0.08094928473095724,-0.05678281236255888,-0.036703636808556685,-0.020559197770739272,-0.00890740623246308,-0.0021019965769383995,0.003728340436742521,0.0059062346781407335,0.00784838011698648,0.009479067340448242,0.010384817975027456,0.011415072777184022,0.011606069343049301,0.010858216769302284,0.009534003397999482,0.006837920312448163,0.006066383875270336,0.007364474059798365,0.0055209249650498655,0.005054941346742149,0.003026128519784964,0.0029395808229738815,0.002956932886986463,0.0029450166018539095,0.004992110775489542,0.006214974246458674,0.004967800318486382,0.004049328623488719,0.004437733999791967,0.0036246207010697897,0.0007909972751785745,-0.0015190618269079457,-0.004375963052014136,-0.003684646334406653,-0.004222435959227044,-0.005639370032232795,-0.0060174615031921945,-0.006818680649159073,-0.007491968330281346,-0.005722801858019941,-0.0044130471462654666,-0.0034852082648231665,-0.0024309420386479383,-0.0008148008383189926,0.0002601447937608273,0.0014551172904089995,0.0014580319794195934,0.002706914157684492,0.0028636426134659976,0.003235512228059408,0.0038625162209278427,0.004290331413836375,0.005233109143013333,0.005557387542442634,0.0031864771715103012,0.004088725525919146,0.00423312217797088,0.002822320774757794,0.0026148896564566868,0.0010930662981278793,-0.0002608892107153181,-0.0007566319949984867,-0.0017263557855437955,0.00032755267791381937,0.001449979188434255,0.0010545165720471246,0.001273387345456398,-0.001180434007326337,-0.0034035865711117205,-0.005232933824874536,-0.0051916528425111,-0.0039098585208255125,-0.0022614385107712813,-0.0028548088570695476,-0.0026000916766704524,-0.0035939417803886103,-0.0025114319923762365,-0.000902086719447894,0.0009151457861703734,0.0011591793721765177,0.001256488466463036,0.0009613513342549183,0.0017812304413986977,0.0028597249542161086,0.001938280722003889,-0.0005470501543534395,-0.0018045361916323127,-0.0008643479492417592,-0.00011815859003024956,-0.0001848386152172691,-0.0007387631338771242,-4.366052696439106e-05,-0.0004510452599546357,-9.252725878328034e-05,-0.0008548818477031257,-0.0024417769942304043,-0.003807361256271745,-0.003875573428360186,-0.0029875916342474713,-0.0015994864006654071,-0.002632517703731251,-0.0027009784757527715,-0.0011025044452105442,0.0013702556557042423,0.0011626201188694825,0.0019020734057330385,0.0024024207189159287,0.0021102021236212203,0.0017132750883580544,0.0015153717424609575,0.002836819601189316,0.005166446349363003,0.0050623795067197205,0.0038368654464191417,0.001760574499331592,-0.0002772913189711879,-0.002981360265924725,-0.0050766664775845835,-0.005624687910889595,-0.00670820830556373,-0.005850074270337291,-0.0031612206892175083,-0.00013346263220379606,0.0012190766026943078,0.0030811947157812557,0.0038421791725177204,0.0036038386697974005,0.003244221881702412,0.0029213255420666743,0.002063128796232796,0.0016016641689837318,0.0016568219911566038,0.001896287004993451,0.001661574570135802,0.0006783466548274673,-0.0011160819286876987,-0.0018251640475405605,-0.0006749183921150799,-0.0005501031499040302,0.0010653790781521906,0.0011581984127569233,-8.964029010708103e-05,-0.0015503283603820945,-0.0013126202766365678,-0.001225328780017021,-0.0009944595550404679,-0.0016332271959650455,-0.002096725153255087,-0.0030077479461058567,-0.001596563605673468,-0.0009772888981125535,-0.0004726026076358877,0.0005185114980185804,0.0014949692899659678,0.0016644105493024094,0.002330329401853494,0.0046852715720296645,0.005413191993532742,0.0035920145290556467,0.002006388731792447,0.00027876496487338516,-0.0017925835528331323,-0.0032554481284735206,-0.0027037302905382078,-0.0012407132523472768,-0.0004158747597246168,-0.00040184070059289933,0.0007196098801884197,0.0018626399157338545,0.0032841607038094625,0.0038411478520089413,0.0038301814805138043,0.003450213715859747,0.00327362471774045,0.001903640257987964,-0.0005166618985588561,-0.0016365384523680917,-0.001534046327279695,-0.0018501436470866129,-0.0036434948683356162,-0.004812456051682808,-0.004971642080125767,-0.005374088738944648
lambda_inf,1.0,0.14,-4.289925627321911e-06,1.0,0.4595306823530362,0.09428050695572343,-0.12854604310139514,-0.24164533602393978,-0.277928838254469,-0.26429902389702037,-0.225096242096599,-0.17759516118318616,-0.12922797042375236,-0.08591255243688871,-0.048980480038378384,-0.024651490822404032,-0.009232698671149573,7.4750546585479e-05,0.004723322449543657,0.005828890675113848,0.008651067535831091,0.012483459880482708,0.011950962487333648,0.008057667759885515,0.006255012253630246,0.0035776787109201577,0.001466326006421929,-0.000207452694030912,-0.0002105640764294483,0.0015005117895014128,0.00044847168949539815,-4.191994041495749e-05,-0.001633233281670247,-0.0023848256015491817,-0.0029087513058761306,-0.003736791287782056,-0.0004312026344434166,0.0019346615190564077,0.0038015758725101463,0.002454011925855483,0.001921896414713295,0.0013902960666518764,-0.0004018793147966949,-0.003299539812367116,-0.005135019140944152,-0.004954417333929257,-0.005494515177188721,-0.0034935928926053484,0.0008906411131472787,0.003163100035668469,0.004554622558560533,0.005725308322461615,0.004202152462572625,0.0031918536319344125,0.0029286947236974686,0.0016708944976308734,0.0002919538882958777,-0.0008883881899323494,-0.00029441864140498556,0.00040565889835146053,-0.00016443943499634952,-0.0005757832480363284,0.00037160693260725793,-0.0010815074609566463,-0.001409666931799941,-0.002668757671387599,-0.003506261969067783,-0.0025293251426233483,0.000560340085849152,0.0034463468333831423,0.0033457497296887867,0.0014607905542511998,0.0003216388272512336,0.0010713168423024347,-2.4936292342353426e-05,-0.0022023650512970673,-0.0038445182742768472,-0.005881273614039943,-0.005571658441634975,-0.006157220678816585,-0.007197802695681126,-0.0033423244096565424,0.0004334582738649796,0.004843366012013569,0.007643672939215387,0.009407534107488484,0.008312079319216143,0.003737309026157877,0.002449797006326552,0.00022398314383600458,-0.0031258804797758923,-0.0028957639007005905,-0.0010689303892155591,0.0019143196421838851,0.003545955036128623,0.0029720724654057353,0.002577225918182693,0.0006043569231648176,-0.0009027384578272704,-0.003098990062389627,-0.0036612803727124666,-0.0034992816563580303,-0.002579054513159137,-0.0009789054971669929,-0.0019686155537603184,-0.0037093751945163622,-0.0009786321318204956,0.0005304681281992815,0.0026802063310953175,0.003127600294102509,0.0024039628171829575,0.00172524654571067,0.001015445698405715,0.0009598514913248537,-0.0006239751771442693,-0.0024717017337858105,-0.001373493429632077,-0.000521214859229696,-0.0003884700086056774,0.001400267549855394,0.000834457307992431,-0.00043573207758101,-0.00045380902377775847,0.00019287820503822702,0.0005060504257064602,-0.0007771184889786149,-0.002315809624063064,-0.002328544513718516,-0.0039033821883982045,-0.0023698711490547403,-0.0013066692245521153,-0.0002883851464177391,0.0022984430625899543,0.0027672659221584456,0.0053031862741983946,0.005402618586500076,0.0031885554557769978,0.00212712254956068,0.00021944532201819173,-0.001748215750072445,-0.0023348749014865796,-0.0009118672680750776,-0.0006026690147658112,-0.0036649925395069428,-0.0036407271404828552,-0.002079473935286333,-0.0019212879296492539,-0.002167538783855553,0.0005046743719156673,0.0008809996063903103,0.00020733460515633028,-0.0007623357194282987,-0.0018692371792713173,-0.002241481207654581,-0.0013556217343262279,-6.41029745606386e-06,0.0026504865332768537,0.003913442951060075,0.0031139784888241334,0.0035322147978946953,0.0028515355238238243,0.001497735414051367,0.0017340691641670558,0.0017765336095828805,0.002890235347507242,0.002807243455202542,-0.0003232622254502849,-0.0026108858017834012,-0.0033264163922262537,-0.0019867696852575605,-0.00334043173838974,-0.0027288290589180114,-0.003858880441214334,-0.003882499350242452,-0.0016519913747770872,0.0004003739766904872,0.0013265880389989387,0.0025479467496235344,0.0037303228577963924,0.005078676187600906,0.005885834705691976,0.0036796492114251973,-0.001474155165851756,-0.0029040790847470093,-0.0018778601919126256,-0.0022090463842522074,-0.0038495775709432977,-0.003882114296729505,-0.002766767518219293,0.0005861373195339405,0.0017505608172395037,0.0022407723612326153,-8.461276112241752e-05,-0.0025273255202047607,-0.003181709735625541,-0.0023939174872560304,-0.0015048769887321873,0.0018774914033356529,0.005614130206812512,0.005253925731631635,0.00440466404625418,-0.0005770871053350058,-0.005812523480673032
