Lambda,D_rot,score
1000.0,0.0,5.3890501725036673e-05
1000.0,0.001,4.844672460677948e-05
1000.0,0.01,5.5577541985708395e-05
1000.0,0.1,7.117593641058705e-05
1000.0,0.2,8.382488993235939e-05
1000.0,1.0,0.00011673603767685665
1000.0,2.0,0.00016127566238983274
