lambda,alpha,m
1000.0,1.65,-0.16664986940945137
10000.0,0.9170511974080576,-0.1822762024110291
100000.0,0.49410757603497685,-0.21461931695990524
1000000.0,0.2825384993944819,-0.2363579551464847
10000000.0,0.17819739695596878,-0.2839083660170215
inf,0.13832799263690876,-0.32895500898798563
